uniqueFlowsetId,flowNumber,srcAddr,dstAddr,srcPort,dstPort,forwardingStatus,forwardingStatusCode,nextHop,outputInt,outputDirection,bytes,packets,timeDelta
21,3,10.146.170.36,117.105.89.22,61333,53,null,null,198.208.133.142,15,null,90,1,0.0
21,4,10.146.170.36,130.173.33.162,61334,53,null,null,198.208.134.142,15,null,90,1,0.0
21,5,10.146.164.66,185.125.190.57,123,123,null,null,198.208.133.38,1,null,94,1,0.0
21,6,130.173.33.162,10.146.170.36,53,61331,null,null,10.193.197.243,16,null,88,1,0.0
21,7,130.173.33.162,10.146.170.36,53,61334,null,null,10.193.197.243,16,null,144,1,0.0
21,8,10.124.214.137,10.146.162.191,32111,40452,null,null,10.193.197.243,16,null,44,1,0.0
21,9,10.47.18.237,10.146.165.86,53,47351,null,null,10.193.204.227,18,null,83,1,0.0
21,10,10.146.162.41,10.125.127.13,52268,22443,null,null,10.204.14.164,11,null,4950,60,0.0
21,11,10.146.162.38,208.67.222.222,38763,53,null,null,198.208.134.53,15,null,160,2,5.0
21,12,10.125.115.3,10.146.165.168,22443,36926,null,null,10.193.197.243,16,null,1658205,2512,0.0
21,13,10.146.171.30,10.124.221.168,58474,32111,null,null,198.208.210.69,15,null,122,2,0.0
22,1,10.146.162.28,208.67.222.222,59180,53,null,null,10.147.91.150,11,null,160,2,5.0
22,2,10.146.165.168,8.8.8.8,0,0,null,null,198.208.38.216,1,null,11934,117,0.0
22,3,10.125.118.53,10.146.165.79,22443,60156,null,null,10.193.197.243,16,null,1018650,2077,0.0
22,4,10.146.165.79,8.8.8.8,0,0,null,null,198.208.31.216,1,null,11934,117,0.0
22,5,10.146.165.40,10.125.123.98,51503,22443,null,null,198.208.211.68,15,null,182995,891,0.0
22,6,10.146.162.42,10.125.122.21,34216,32111,null,null,10.204.14.164,11,null,122,2,0.0
22,7,10.146.164.148,208.67.222.222,54902,53,null,null,198.208.134.53,15,null,160,2,5.0
22,8,10.146.165.124,10.125.126.36,52230,32111,null,null,198.208.211.68,15,null,122,2,0.0
